head	relation	tail
dancer	CapableOf	lead with such skill
fisherman	CapableOf	land fish
quiet person	CapableOf	hear many secrets
chinese	CapableOf	speak mandarin
outfielder	CapableOf	catch ball
spy	CapableOf	bug office
swordsman	CapableOf	finish opponent
tall person	CapableOf	reach ceiling
pest	CapableOf	become irritating
good dealer	CapableOf	deal cards very quickly
victor	CapableOf	best vanquished
firewatcher	CapableOf	spot fire on mountain
scuba diver	CapableOf	paint car
chairman	CapableOf	chair conference
writer	CapableOf	write novels
traffic cop	CapableOf	fine miscreant
college student	CapableOf	pay tuition
con man	CapableOf	time exit to second
butcher	CapableOf	man meat grinder
hairdresser	CapableOf	part hair
homeowner	CapableOf	receive mail
slave	CapableOf	scape bonds
glassblower	CapableOf	blow glass objects
stockbroker	CapableOf	deal stocks
pharmacist	CapableOf	issue drug
essayist	CapableOf	hunt for right phrase
magician	CapableOf	fool audience
two year old child	CapableOf	begin to speak
toddler	CapableOf	take nap
hungry person	CapableOf	finish meal
traveller	CapableOf	journey to another country
miner	CapableOf	mine ore
chess player	CapableOf	win chess game
navigator	CapableOf	guide airplane
owner	CapableOf	sign deed
organism	CapableOf	need
bad driver	CapableOf	back into tree
chess player	CapableOf	move pawn
society	CapableOf	make laws
reader	CapableOf	mine book for idea nuggets
arbitrator	CapableOf	bridge workers and management
observer	CapableOf	note event occurred
snitch	CapableOf	name conspirators
host	CapableOf	expect company
swimmer	CapableOf	dry off after swim
christian	CapableOf	confess sin
landlady	CapableOf	answer doorbell
trumpeter	CapableOf	blow to make music
observant person	CapableOf	spot imposter
strong man	CapableOf	carry wife
more than one person	CapableOf	sit on couch
passenger	CapableOf	board vessel
conductor	CapableOf	direct orchestra
aide	CapableOf	offer to help
craftsman	CapableOf	school apprentice
angry child	CapableOf	call another child bully
director	CapableOf	chair meeting
physicist	CapableOf	perfect theory
lackey	CapableOf	use horse to run errands
hasty criminal	CapableOf	drop clue
new secretary	CapableOf	field incoming mail
gambler	CapableOf	increase wager
mankind	CapableOf	reach
hiker	CapableOf	hike mountain
lifeguard	CapableOf	save drowning swimmer
beagle	CapableOf	hunt for rabbits
arsonist	CapableOf	strike match
writer	CapableOf	master vocabulary
frenchman	CapableOf	speak french
daytrader	CapableOf	trading every day
chipmonks	CapableOf	store acorns in cheeks
dairymaid	CapableOf	milk cow
hunter	CapableOf	spring trap
ill person	CapableOf	suffer pain
builder	CapableOf	bridge river
traveler	CapableOf	board plane
fast runner	CapableOf	burn up track
basketball player	CapableOf	catch passed basketball
wild animal	CapableOf	charge with little reason
male	CapableOf	father offspring
root	CapableOf	absorbing water
deaf person	CapableOf	sign love
bride	CapableOf	plan wedding
beggar	CapableOf	cup hands
basketball player	CapableOf	guard ball
squrels	CapableOf	gather nuts
government	CapableOf	enact laws
programmer	CapableOf	fix bug
old person	CapableOf	remember long ago
believer	CapableOf	walk straight and narrow
christian	CapableOf	sin
cheerleader	CapableOf	do back flip
government	CapableOf	distributing taxes
businessmen	CapableOf	dress up
popular president	CapableOf	do no wrong
government	CapableOf	govern country
gatekeeper	CapableOf	forward message
hiker	CapableOf	rest feet
vituperative person	CapableOf	salt wound
workman	CapableOf	paint house
grandpa	CapableOf	remember everything
rich man	CapableOf	buy mansion
camper	CapableOf	shoe away bear
argentinean	CapableOf	dance tango
ring bearer	CapableOf	hold ring
machinist	CapableOf	machine gear
chessplayer	CapableOf	perfect chess game
farmer	CapableOf	grow plants
farmer	CapableOf	plant seeds
batterers	CapableOf	strike partners
carpenter	CapableOf	finishing cabinet
stockbroker	CapableOf	trade equities
musician	CapableOf	record music
gardner	CapableOf	seed patch of ground
master	CapableOf	teach apprentice to work
meter man	CapableOf	fine for overdue parking
normal husband	CapableOf	return empty handed
giver	CapableOf	delight in recipient's happiness
drummer	CapableOf	follow tune
carpenter	CapableOf	position cabinet on wall
debutant	CapableOf	marry well
sailor	CapableOf	coming home
entrepreneur	CapableOf	start small business
poet	CapableOf	writing poems
tiny foot	CapableOf	fit into tiny shoe
tall person	CapableOf	reach high
city native	CapableOf	guide tourist
hostess	CapableOf	ready parlor for guests
lottery player	CapableOf	win money
good worker	CapableOf	expect to rewarded
warrior	CapableOf	battle enemy
contestant	CapableOf	guess answer to question
white collar thief	CapableOf	doctor books
farmer	CapableOf	farm field
hunter	CapableOf	circle prey
adolescent boy	CapableOf	eye pretty girl
musican	CapableOf	master complicated score
society	CapableOf	mutual protecting
farmer	CapableOf	water tomato patch
host	CapableOf	welcome vistior
wrestler	CapableOf	best opponent
racer	CapableOf	close in
mediator	CapableOf	settle arguments
gentleman	CapableOf	bringing home to mother
dairy producer	CapableOf	milk cows
usher	CapableOf	seat wedding guest
polar bear	CapableOf	live in cold
con man	CapableOf	blowing smoke
sorrowful person	CapableOf	hope life will improve
launderer	CapableOf	hang clothes out to dry
dog trainer	CapableOf	train dog
prince	CapableOf	good male
farmer	CapableOf	pick vegetables
road crew	CapableOf	paint road lines
usher	CapableOf	seat spectator
gameshow host	CapableOf	list categories
grizzly bear	CapableOf	tear face off
editor	CapableOf	spot misspelling
traveler	CapableOf	return to original destination
engineer	CapableOf	record song
sociopath	CapableOf	lie with out feeling guilt
christian	CapableOf	repent
frenchman	CapableOf	talk in french
mayor	CapableOf	control police chief
hermit	CapableOf	fast for days
butcher	CapableOf	quarter chicken
mayor	CapableOf	run town
good chef	CapableOf	perfect recipe
sexual fish	CapableOf	survive in diverse environments
smart bureaucrat	CapableOf	follow protocol
barber	CapableOf	even ends of hair
crack addict	CapableOf	spend lots of money on crack
crook	CapableOf	case store
puppeteer	CapableOf	control marionette
baseball player	CapableOf	field pitch
open mind	CapableOf	learn common sense
exporter	CapableOf	ship merchandise
navigator	CapableOf	course path
babysitter	CapableOf	mind child
skater	CapableOf	skateboard
veterinarian	CapableOf	fix cat
referee	CapableOf	part two boxers
farmer	CapableOf	pick carrot
security guard	CapableOf	man post
janitor	CapableOf	clean urinal
operator	CapableOf	tell what time
pirate	CapableOf	sail ship
butcher	CapableOf	cut beef quarter
monk	CapableOf	fast as ritual
shepherd	CapableOf	drive sheep
farmer	CapableOf	market cattle
designer	CapableOf	position furniture
programmer	CapableOf	write programs
camper	CapableOf	sleep in tent
football player	CapableOf	corner sharply
junior member	CapableOf	play second fiddle
big scary policeman	CapableOf	still classroom
traitor	CapableOf	walk plank
rasta	CapableOf	grow marihuana
monopolist	CapableOf	corner market
babysitter	CapableOf	mind baby
ninja	CapableOf	master secret arts
fisherman	CapableOf	land great catch
solver	CapableOf	piece together solution
too much sun	CapableOf	cause skin cancer
applicant	CapableOf	land job
individual	CapableOf	object to another's behavior
football player	CapableOf	drop kick football
technician	CapableOf	doing repairs
wise leader	CapableOf	govern people fairly and gently
movie director	CapableOf	direct movie
expressive person	CapableOf	draw in order to express
racer	CapableOf	bicycle very fast
writer	CapableOf	write letter
bookkeeper	CapableOf	record transactions
santa	CapableOf	present gifts
butler	CapableOf	set table very well
atheletes	CapableOf	run race
entomologist	CapableOf	cup bug
peole	CapableOf	tie knots
construction worker	CapableOf	build office building
traitor	CapableOf	side with enemy
tenor	CapableOf	sing
hunter	CapableOf	circle around
master	CapableOf	require obedience
fisherman	CapableOf	fillet fish
poet	CapableOf	writing poetry
rocket engineer	CapableOf	prepare rocket to launch
reader	CapableOf	turn page
poet	CapableOf	create images using words
bettor	CapableOf	raise ante
celebrity	CapableOf	arrive at premiere
champion	CapableOf	taste fruits of victory
gnat	CapableOf	fly
competitor	CapableOf	equal opponent
wasp	CapableOf	sting more than once
ferrier	CapableOf	shoe horses
poet	CapableOf	write verse
tue gentleman	CapableOf	rise to occasion
mistress	CapableOf	tie straps
tourist	CapableOf	go around world
prince	CapableOf	becomes king
storekeeper	CapableOf	price products
dancer	CapableOf	twist ankle landing incorrectly
marathon runner	CapableOf	succeed to complete race
automobile owner	CapableOf	price car for sale
director	CapableOf	direct film
investor	CapableOf	back project
courageous person	CapableOf	face fears
relay runner	CapableOf	hand baton to teammate
pursuer	CapableOf	close distance
saxaphone player	CapableOf	blow saxaphone
little girl	CapableOf	dress doll
voyeur	CapableOf	watch others
boater	CapableOf	weight boat with anchor
wine maker	CapableOf	pressing grapes
druggies	CapableOf	crime
rapist	CapableOf	forcing sexual encounter
dancer	CapableOf	dance
hostess	CapableOf	welcome guests
pervert	CapableOf	enjoy dirty movies
homeowner	CapableOf	fence yard
toddler	CapableOf	pulling hair
metalworker	CapableOf	machine metal parts
youngster	CapableOf	ride on back
rich man	CapableOf	guard treasure
burgler	CapableOf	fence stolen goods
musician	CapableOf	play fiddle
seamstress	CapableOf	fix tear
joker	CapableOf	fool person
astronaut	CapableOf	travel into outerspace
telephone operator	CapableOf	forward call to phone
screenwriter	CapableOf	present treatment
indian	CapableOf	salt beef jerky
christian	CapableOf	stumble
inventive person	CapableOf	piece together unusual answers
chess player	CapableOf	position pieces
soprano	CapableOf	sing high notes
murderer	CapableOf	kill
mayor	CapableOf	help
good student	CapableOf	learn difficult subject
sailor	CapableOf	sail boat
quarterback	CapableOf	throw pass
humanity	CapableOf	commit genocide
janitor	CapableOf	clean sink
physicist	CapableOf	school himself in advanced mathematics
blacksmith	CapableOf	shoe mule
tennis player	CapableOf	win match
fisherman	CapableOf	fish in ocean
inventor	CapableOf	market invention
hoarder	CapableOf	stock up
french athlete	CapableOf	fence with another athlete
hummingbird	CapableOf	hang in one spot
snob	CapableOf	act uppity
janitor	CapableOf	clean toilets
government	CapableOf	rule people
mature adult	CapableOf	control themselves
lizzard	CapableOf	detach tail
one person	CapableOf	define experience as wonderful
traveler	CapableOf	return with pictures
catcher	CapableOf	return ball to pitcher
inventor	CapableOf	oil robot
predator	CapableOf	corner it's prey
gardner	CapableOf	garden roses
navigator	CapableOf	sail ship
machinist	CapableOf	machine new tool
jury	CapableOf	listen to witness
pregnant woman	CapableOf	expect baby
torpedo	CapableOf	travel underwater to target
consumer	CapableOf	save money
farmer	CapableOf	market crops
bingo winner	CapableOf	delight in prize
retiree	CapableOf	sail world
government	CapableOf	controlling society
field hand	CapableOf	bringing in crop
pirate	CapableOf	mark map with x
spy	CapableOf	follow person
farmer	CapableOf	seed soil
emt	CapableOf	resuscitate
critic	CapableOf	judge art
butcher	CapableOf	dress side of beef
mayor	CapableOf	govern town
curious person	CapableOf	travel far and wide
hostess	CapableOf	seat customer
air conditioner repair person	CapableOf	service air conditioner
jury	CapableOf	judge defendant
astronaut	CapableOf	travel through space
nanny	CapableOf	push stroller
historian	CapableOf	date events accurately
wholesaler	CapableOf	supply retailer with goods
baseball player	CapableOf	drop fly ball
guitarist	CapableOf	play riff
gravedigger	CapableOf	fill open grave
director	CapableOf	pay actors
government	CapableOf	leading society
pirate	CapableOf	fence contraband
rider	CapableOf	fear to ride roguish horse
bouncer	CapableOf	ring neck
visitor	CapableOf	ring doorbell
pet owner	CapableOf	walk dog
bus driver	CapableOf	collect fare
survivor	CapableOf	miss deceased
sailor	CapableOf	man deck
toddler	CapableOf	count numbers up to ten
skeptical person	CapableOf	doubt little too much
mortgagee	CapableOf	gain interest from loan
tourist	CapableOf	book airline ticket
jury	CapableOf	sentence people to death
tadpole	CapableOf	become frog
butcher	CapableOf	ready meat
irregular	CapableOf	mean not regular
lighthousekeepers	CapableOf	man lighthouses
grocer	CapableOf	price watermelons
hunter	CapableOf	use gun
man and woman	CapableOf	produce children
expatriate	CapableOf	long for homeland
good rider	CapableOf	judge promising horse
poeple	CapableOf	cooperate with aid to help
jewler	CapableOf	value jewel
traveler	CapableOf	arrive home
dancer	CapableOf	dig beat
gambler	CapableOf	play craps
birthday child	CapableOf	thank guests
bird watcher	CapableOf	spot bird
executioner	CapableOf	quarter criminal
good student	CapableOf	step ahead
tormentor	CapableOf	subject victom
climber	CapableOf	hold on to rope
general	CapableOf	advance forces to city
flamingo	CapableOf	stand on one leg
conductor	CapableOf	listen to music
investor	CapableOf	gain money
male	CapableOf	impregnate female
cowboy	CapableOf	drive herd of cattle
stenographer	CapableOf	record trial
clocker	CapableOf	time horse race
chess player	CapableOf	feel forced to do studying
flyfisher	CapableOf	fish for trout
sick person	CapableOf	battle cancer
juror	CapableOf	attends civil lawsuit proceeding
general	CapableOf	lead army
arbitrator	CapableOf	settle disagreements
racer	CapableOf	race in race
pirate	CapableOf	man bilge pump
engineer	CapableOf	drive train
musician	CapableOf	hear sounds
farmer	CapableOf	feed animals
spiritual leader	CapableOf	plant seeds of hope
wiley fox	CapableOf	fool
dissident	CapableOf	voice objection
poet	CapableOf	rhyming
businessman	CapableOf	ship package
landowner	CapableOf	stock pond with fish
engineer	CapableOf	realise dream
musician	CapableOf	play oboe
dressmaker	CapableOf	cut cloth
farmer	CapableOf	seed crops
gambler	CapableOf	desire to win
trapper	CapableOf	salt meat
traveler	CapableOf	near destination
appraiser	CapableOf	value house
voyeur	CapableOf	watch other people
bookseller	CapableOf	ship book
pot limit poker player	CapableOf	raise pot
pianst	CapableOf	perform recital
pet owner	CapableOf	name pet
geographer	CapableOf	place points on map
censor	CapableOf	block obscenities
sheriff	CapableOf	name deputy
baseball player	CapableOf	duck baseball
gardner	CapableOf	garden front yard
tourist	CapableOf	journey to other countries
fisherman	CapableOf	fish for family's food
violin teacher	CapableOf	play very well
cast and crew	CapableOf	go on casting call
investor	CapableOf	bank with company
contestant	CapableOf	guess answer
babysitter	CapableOf	mind young child
astronaut	CapableOf	travel to moon
patient person	CapableOf	wait longer than impatient person
farmer	CapableOf	farm farms
football player	CapableOf	guard quarterback
society	CapableOf	raising children
quarterback	CapableOf	throw football
builder	CapableOf	build cathedral
beautician	CapableOf	supply with hair coloring
master	CapableOf	train slave
farmer	CapableOf	wonder about tomorrow's weather
poor person	CapableOf	get rich
carpenter	CapableOf	shore leak
mathematician	CapableOf	add numbers
farmer	CapableOf	seed fields
greeter	CapableOf	welcome customer
basketball player	CapableOf	wear high tops
opera singer	CapableOf	sing aria
director	CapableOf	make movie
homeowner	CapableOf	paint fence
negotiator	CapableOf	bridge two sides
soprano	CapableOf	jazz
restaurant customer	CapableOf	order meal
greedy monopolist	CapableOf	charge exhorbitantly
queen bee	CapableOf	rule hive
street person	CapableOf	need good bath
baseball player	CapableOf	field thrown ball
gay men	CapableOf	call life partners husband
soccer player	CapableOf	head ball
stubborn person	CapableOf	right wrong
activist	CapableOf	raise consciousness
traveller	CapableOf	journey to destination
hunter	CapableOf	bag deer
defense attorney	CapableOf	ready case
scuba diver	CapableOf	ride whale shark
musician	CapableOf	master instrument
monk	CapableOf	fast for two days
poet	CapableOf	write poems
engineer	CapableOf	build computer
too much sun	CapableOf	age skin
magician	CapableOf	fool audience with magic tricks
band leader	CapableOf	direct band
gunsmith	CapableOf	blue rifle barrel
quarterback	CapableOf	pass football
technician	CapableOf	set alarm
pornstar	CapableOf	making porn
pet owner	CapableOf	pet dog
baseball player	CapableOf	charge mound
passenger	CapableOf	board ship
gangster	CapableOf	smoke rival
biologist	CapableOf	discover vaccine to cure diseases
sick person	CapableOf	take remedy
camper	CapableOf	make breakfast
project manager	CapableOf	present proposal
wise person	CapableOf	school naive person
farmer	CapableOf	labor in field
celebrity	CapableOf	meet fan
shop owner	CapableOf	drive bargain
pied piper	CapableOf	drive rats from ireland
sailor	CapableOf	captain ship
gallery visitor	CapableOf	view art
carpenter	CapableOf	saw wooden plank
prince	CapableOf	honor
milkman	CapableOf	supply customers with milk
qa engineer	CapableOf	note software defects
ballet dancer	CapableOf	turn on toes
reader	CapableOf	read newspaper
emperor	CapableOf	rule empire
government	CapableOf	serve public
hostess	CapableOf	work room
grocery clerk	CapableOf	stock shelves
adolescent	CapableOf	act childish
farmer	CapableOf	plant marijuana
scientets	CapableOf	measure values
physicist	CapableOf	discover new particle
debtor	CapableOf	mail payment
government	CapableOf	take money
underdog	CapableOf	try win
beautician	CapableOf	wave hair
botanist	CapableOf	group plants
single person	CapableOf	race against clock
gandmother	CapableOf	thank boy
soprano	CapableOf	sing flawlessly
government	CapableOf	management
alert jogger	CapableOf	step around hole
home owner	CapableOf	pay mortgage
graduate	CapableOf	land good job
soprano	CapableOf	hitting high notes
jury	CapableOf	send criminal to prison
searcher	CapableOf	find missing item
champion	CapableOf	best in crowd
shaman	CapableOf	journey to other worlds
biologist	CapableOf	determine sex of animal
angler	CapableOf	fish by lake
taskmaster	CapableOf	demand obedience
shepherd	CapableOf	bell sheep
homeowner	CapableOf	mail property tax payments
gossip	CapableOf	talking about neighbors
host	CapableOf	seat guest
intrepid explorer	CapableOf	discover new frontiers
poet	CapableOf	creating poetry
astronomer	CapableOf	note star
engineer	CapableOf	train end users
beatnik	CapableOf	dig poetry
hoarder	CapableOf	stock up on scarce goods
farmer	CapableOf	use rifle to control pests
hiker	CapableOf	choose to return to base camp
mayor	CapableOf	administrating city
receptionist	CapableOf	forward call to
man and woman	CapableOf	produce child
murderer	CapableOf	executed in electric chair
piano player	CapableOf	hit piano keys
diver	CapableOf	perfect form
grocer	CapableOf	sell vegetables
art lover	CapableOf	travel to paris
too much sun	CapableOf	cause burn
traffic cop	CapableOf	stop vehicles
passenger	CapableOf	board plane
commuter	CapableOf	wait to take bus
meteorologist	CapableOf	talk about weather
traveller	CapableOf	prepare to depart
actress	CapableOf	cry convincingly on cue
really smart kid	CapableOf	name all state capitols
farmer	CapableOf	weed out weeds
archaeologist	CapableOf	analyse molecular residues
storyteller	CapableOf	tell tales of adventure
businessmen	CapableOf	meet clients
repairer	CapableOf	oil hinge with oilcan
sadist	CapableOf	subject other to pain
government	CapableOf	arm guerilla army
omnivore	CapableOf	eat either vegetables or meat
champion	CapableOf	battle knight
dog lover	CapableOf	train dog
ranger	CapableOf	man fire tower
contestant	CapableOf	succeed in contest
trumpeter	CapableOf	master solo
one person	CapableOf	miss another person
commuter	CapableOf	riding bicycle
young man	CapableOf	doubt choices
dancer	CapableOf	dance in competition
magician	CapableOf	perform magic
traveler	CapableOf	board ship
meter man	CapableOf	fine illegally parked car
strongman	CapableOf	best weakling
baseball player	CapableOf	hit ball
surfer	CapableOf	ride wave
protester	CapableOf	crying for justice
writer	CapableOf	begin writing book
bride	CapableOf	kiss groom
christian	CapableOf	go astray
imaginative person	CapableOf	picture successful conclusion
basketball player	CapableOf	hand basketball
illustrator	CapableOf	letter comic
good proofreader	CapableOf	spot typo
farmer	CapableOf	gather crops
old man	CapableOf	still need love
carpenter	CapableOf	complete bookcase
farmer	CapableOf	fence land
sadist	CapableOf	needle victim
atheletes	CapableOf	race each other
emperor	CapableOf	build empire
butcher	CapableOf	quarter piece of meat
whistleblower	CapableOf	report crime
angry person	CapableOf	raise voice
arbiter	CapableOf	settle dispute
architect	CapableOf	position walls and plumbing with exactness
golfer	CapableOf	drive ball
retiree	CapableOf	receive pension
designer	CapableOf	build web site
hostess	CapableOf	wear evening gown
butcher	CapableOf	cut meat with knife
fbi	CapableOf	bug office
arsonist	CapableOf	burn building
miner	CapableOf	mine coal
warrior	CapableOf	plan siege
young man	CapableOf	fancy young woman
astronomer	CapableOf	watch sky
telemarketer	CapableOf	call at dinnertime
editor	CapableOf	notice mistake
usher	CapableOf	help find seat
grizzly bear	CapableOf	catch salmon with jaws
youngster	CapableOf	say no to parents
tapeworm	CapableOf	thin socialite
general	CapableOf	lead troops
angry person	CapableOf	break china plate to bits
illiterate person	CapableOf	understand speech in native language
fencer	CapableOf	practice parrying
poor student	CapableOf	better himself by studying
stoner	CapableOf	smoke pot
supplicant	CapableOf	light candle
carpenter	CapableOf	build deck
reader	CapableOf	continue reading book
outfielder	CapableOf	field fly ball
veterinarian	CapableOf	fix animal
visitor	CapableOf	ring doorknob
toddler	CapableOf	drink glass of milk
champion	CapableOf	best opponent
navigator	CapableOf	note position
geezer	CapableOf	feed birds in park
partier	CapableOf	paint town
great salesman	CapableOf	sell
mobster	CapableOf	pay bribe
beggar	CapableOf	beg
baseball player	CapableOf	field fly ball
chemist	CapableOf	understand chemistry
passenger	CapableOf	board train
master mariner	CapableOf	captain ship
complainer	CapableOf	cry wolf too often
strong male	CapableOf	break board with fists
carpenter	CapableOf	fence yard
murderer	CapableOf	fire gun
too much sun	CapableOf	burn skin
golfer	CapableOf	position ball
carpenter	CapableOf	box window
auto mechanic	CapableOf	use tools
winner	CapableOf	face issues
physicist	CapableOf	understand quantum mechanics
car buyer	CapableOf	trade in old car
jazz man	CapableOf	play music
good technician	CapableOf	record old song for
chemist	CapableOf	list nobel gases
housewife	CapableOf	garden flowerbed
professional witness	CapableOf	field difficult ones
understudy	CapableOf	become star
fat person	CapableOf	lose weight
computer programmer	CapableOf	write computer software
mayor	CapableOf	leading city
diver	CapableOf	holding breath
mature person	CapableOf	shoulder lot of responsibility
martyr	CapableOf	shoulder burden
consumer	CapableOf	read label
wagonmaster	CapableOf	circle wagons
juror	CapableOf	serve on jury
eunuch	CapableOf	strike gong
tenor	CapableOf	improve barbershop quartet
jailer	CapableOf	free inmate
attendee	CapableOf	view wedding
person or animal	CapableOf	look out window
good teacher	CapableOf	bring science to life
junkie	CapableOf	take drugs
carpenter	CapableOf	plain door
builder	CapableOf	install windows
bad man	CapableOf	do bad things
computer or person	CapableOf	succeed at task
signwriter	CapableOf	letter sign
fashion model	CapableOf	wear ugly clothing
passenger	CapableOf	board bus
flatterer	CapableOf	butter up
winner	CapableOf	rise to occasion
suboordinate	CapableOf	voice complaint
traveler	CapableOf	board liner
flexible person	CapableOf	weather changes
bowler	CapableOf	get strike
traveler	CapableOf	bring suitcase
florist	CapableOf	smell roses
amish woman	CapableOf	drive horse and buggy
mason	CapableOf	wall compound
logger	CapableOf	saw log
usher	CapableOf	seat dignitary
construction worker	CapableOf	position cone
night watchman	CapableOf	watch plant while others sleep
traffic cop	CapableOf	slow traffic
stockbroker	CapableOf	short stock
homeowner	CapableOf	mow lawn
ranch hand	CapableOf	feeding cattle
good customer service representative	CapableOf	use tact
mayor	CapableOf	run city or town
skilled actor	CapableOf	talk with different accents
organizational psychologist	CapableOf	conduct job analysis
volunteer	CapableOf	step forward with alacrity
philosopher	CapableOf	think deep thoughts
only doctor	CapableOf	explain satisfactorily
soprano	CapableOf	sing high pitched musical tones
mathematician	CapableOf	read formula
business man	CapableOf	tie shoes
bishop	CapableOf	kill knight
lukcy person	CapableOf	strike oil
anorexic person	CapableOf	gain no weight
press secretary	CapableOf	field question
jury	CapableOf	send to penitentiary
prince	CapableOf	young king
upside down bug	CapableOf	right itself
first grader	CapableOf	tie shoe
physicist	CapableOf	use experiments to research polarity
arbitrator	CapableOf	settle argument
carpenter	CapableOf	nail furniture together
supplier	CapableOf	sell goods
skipper	CapableOf	captain yacht
clever person	CapableOf	succeed at business
santa	CapableOf	leave presents
gentleman	CapableOf	raise hat
researcher	CapableOf	present findings
seaman	CapableOf	sail ship
baby sitter	CapableOf	mind child
good student	CapableOf	better life
beutiful young lady	CapableOf	catch handsome young man
chief	CapableOf	oil salad
decorator	CapableOf	hang drapes
diligent person	CapableOf	get task done
language student	CapableOf	gain proficiency
archeologist	CapableOf	date artifact
patron	CapableOf	order food
winemaker	CapableOf	press grapes
school of fish	CapableOf	number in thousands
tall person	CapableOf	reach height
creative chef	CapableOf	add extra ingredients
host	CapableOf	head table
boyscout	CapableOf	tie knots
activist	CapableOf	shake things up
ice skater	CapableOf	spins
sailor	CapableOf	tie rope
carpenter	CapableOf	use saw to cut wood
seamstress	CapableOf	piece together quilt
sunbather	CapableOf	sun on beach
library lender	CapableOf	return book
inmate	CapableOf	hurt prison guard
success at competition	CapableOf	further ones interests
jockey	CapableOf	lead horse
drunk woman	CapableOf	let hair down
graduate	CapableOf	keep diploma
agorophobe	CapableOf	fear to leave house
jeweler	CapableOf	cut diamonds
musician	CapableOf	sing cappella
hunter	CapableOf	spot deer
scrabble player	CapableOf	spread pieces out
operator	CapableOf	page doctor
magician	CapableOf	surprise audience
stewardess	CapableOf	seat airplane passenger
sculpter	CapableOf	work clay
jerk	CapableOf	laugh at failures
sailor	CapableOf	board whale boat
disney fan	CapableOf	wish upon star
setlers	CapableOf	circle wagons
blackjack player	CapableOf	double money
trucker	CapableOf	drive to gas station
hermit	CapableOf	live alone
wrestler	CapableOf	wrestle
investor	CapableOf	buy stock
late riser	CapableOf	miss carpool
pharmacist	CapableOf	work in pharmacy
polyamourous person	CapableOf	date two friends at once
gambler	CapableOf	lose lot of money
advertiser	CapableOf	market product
chldren	CapableOf	grow up
reasonable person	CapableOf	consider opposite point of view
programmer	CapableOf	write software
angry person	CapableOf	raise hell
hunter	CapableOf	hunt game
optomist	CapableOf	hope for best
castaway	CapableOf	experience loneliness
generous loan officer	CapableOf	clear slate
sentry	CapableOf	watch gates
winner	CapableOf	gain prize
owner	CapableOf	price item
butcher	CapableOf	sell meat
homeowner	CapableOf	oil squeaky hinge
volunteer	CapableOf	read to elderly
failure	CapableOf	lower expectations
boy scout	CapableOf	help lady across street
applicant	CapableOf	borrow loan from bank
programmer	CapableOf	program ai
usher	CapableOf	seat patron at theater
secure person	CapableOf	receive compliment well
predator	CapableOf	tail prey
bus driver	CapableOf	bus children to school
fbi	CapableOf	tail suspect
man or woman	CapableOf	smoke sigarette
physicist	CapableOf	prove theory
pastry chef	CapableOf	separate whites and yolks
celebrity	CapableOf	reply to fan letter
glazier	CapableOf	glass window
usher	CapableOf	require ticket from moviegoer
baseball player	CapableOf	field ball
golfer	CapableOf	put golf ball
director	CapableOf	cut scene
one person	CapableOf	fly plane in solo flight
carpenter	CapableOf	complete bookshelf
spy	CapableOf	following
sailor	CapableOf	sail seven seas
taciturn person	CapableOf	keep quiet
spammer	CapableOf	gathering e mail addresses
only president	CapableOf	chair special meeting
farmer	CapableOf	leave barn
relay racer	CapableOf	hand off baton
gentleman	CapableOf	scrubbing one's back in shower
bird with worm	CapableOf	feeding itself
mediator	CapableOf	bridge difference of opinions
honest person	CapableOf	return lost wallet
individual	CapableOf	believe in right to choose
rabid weasel	CapableOf	attack without reason
good writer	CapableOf	word things poetically
bus driver	CapableOf	bus people
monarch	CapableOf	govern nation
agile person	CapableOf	turn on dime
government	CapableOf	arm citizens with weapons
spectator	CapableOf	watch event
gentleman	CapableOf	escort to party
grocer	CapableOf	mind grocery store
contortionist	CapableOf	scape from straightjacket
jury	CapableOf	come to decision
dreamer	CapableOf	journey in imagination
pedestrian	CapableOf	cross street
picky teacher	CapableOf	rain criticism on student
writer	CapableOf	hunt for right word
gourmand	CapableOf	fancy third helping
companion	CapableOf	life mate
revolutionary	CapableOf	free country
deaf person	CapableOf	sign words
video game player	CapableOf	save progress
workaholic	CapableOf	create pressure cooker atmosphere
traveler	CapableOf	board bus
ice skater	CapableOf	jumps
sick person	CapableOf	throw up
mediator	CapableOf	strike balance between litigants
farmer	CapableOf	water plants
veterinarian	CapableOf	fix pet
good writer	CapableOf	word sentence in dithyrhambic meter
calligraphy artist	CapableOf	letter commemorative plaque
drug dealer	CapableOf	sell drugs
capenters	CapableOf	build houses
cowboy	CapableOf	ride off into sunset
family court judge	CapableOf	part husband from wife
farmer	CapableOf	clear land of trees
insensitive person	CapableOf	wrong another person
tactful person	CapableOf	word just right
bishop	CapableOf	kill pawn
hiker	CapableOf	head home
prince	CapableOf	succeed king
venture capitalist	CapableOf	raise funds
shoe salesman	CapableOf	box pair of shoe
hostess	CapableOf	decide which guests to invite
searcher	CapableOf	find quick answer
nimble thinker	CapableOf	dance around troubles
investor	CapableOf	spread to reduce risk
butcher	CapableOf	quarter duck
single person	CapableOf	date other people
impolite person	CapableOf	sound rather loud
persistent searcher	CapableOf	nail down answer
miner	CapableOf	mine for coal
sprinter	CapableOf	run short distances
government leader	CapableOf	govern constituancy
serious student	CapableOf	complete all assignments
good reporter	CapableOf	dig out facts
greedy person	CapableOf	price things too high
teacher	CapableOf	learn subject
jeweler	CapableOf	weight gem
